Yo soy profesor.;I am a teacher.
¿Puedes oírte claramente?;Can you hear you clearly?
La lluvia lo empapó por completo.;The rain soaked him completely.
Ella le envió un mensaje a ella.;She sent a message to her.
Necesitamos limpiarlo/la ahora.;We need to clean it now.
Ellos se unirán a nosotros para cenar.;They will join us for dinner.
Los/Las extrañaré cuando se vayan.;I will miss you when you leave.
La música alta los/las molestó.;The loud music bothered them.
Ella decidió dejarme solo.;She decided to leave me alone.
Intenté llamarte varias veces.;I tried to call you several times.
El sol lo calentó suavemente.;The sun warmed him gently.
Él dibujó una imagen para ella.;He drew a picture for her.
Necesitan arreglarlo/la urgentemente.;They need to fix it urgently.
Ella nos invitó a su boda.;She invited us to her wedding.
Espero verlos/las pronto.;I hope to see you again soon.
La noticia los/las sorprendió mucho.;The news surprised them greatly.
Él siempre me apoya en mis decisiones.;He always supports me in my decisions.
Quiero presentarte a mi amigo/a.;I want to introduce you to my friend.
El perro lo lamió en la cara.;The dog licked him on the face.
Ella le dio un libro a ella.;She gave a book to her.
Encontramos lo/la debajo de la mesa.;We found it under the table.
A menudo nos piden consejo.;They often ask us for advice.
Nunca los/las olvidaré.;I will never forget you.
La historia los/las fascinó.;The story fascinated them.
Ella decidió perdonarme.;She decided to forgive me.
Necesito pedirte un favor.;I need to ask you a favor.
El viento frío lo heló hasta los huesos.;The cold wind chilled him to the bone.
Él le envió flores a ella.;He sent flowers to her.
¿Puedes describirlo/la?;Can you describe it to me?
Están planeando una sorpresa para nosotros.;They are planning a surprise for us.
Estoy muy agradecido/a con ustedes.;I am very grateful to you.
El rompecabezas los/las desafió.;The puzzle challenged them.
Ella trató de consolarme.;She tried to comfort me.
Quiero ayudarte con tu proyecto.;I want to help you with your project.
La luz brillante lo cegó por un momento.;The bright light blinded him for a moment.
Él dedicó la canción a ella.;He dedicated the song to her.
Necesitan repararlo/la rápidamente.;They need to repair it quickly.
Ella a menudo nos visita los fines de semana.;She often visits us on weekends.
Estoy deseando verlos/las.;I am looking forward to seeing you.
El comediante los/las divirtió mucho.;The comedian amused them greatly.
Él prometió llamarme más tarde.;He promised to call me later.
Necesito hablar contigo urgentemente.;I need to talk to you urgently.
La caja pesada cayó sobre él.;The heavy box fell on him.
Ella escribió un poema hermoso para ella.;She wrote a lovely poem for her.
Ellos decidieron venderlo/la.;They decided to sell it.
Él siempre nos incluye en sus planes.;He always includes us in his plans.
Espero que todo les vaya bien.;I hope everything goes well for you.
El examen difícil los/las preocupó.;The difficult exam worried them.
Ella se ofreció a llevarme a casa.;She offered to drive me home.
Quiero agradecerles/las su amabilidad.;I want to thank you for your kindness.
La música alta lo distrajo.;The loud music distracted him.
Él compró un collar hermoso para ella.;He bought a beautiful necklace for her.
Ellos nos mostraron cómo hacerlo.;They showed us how to do it.
Este es mi libro.;This is my book.
¿Cuál es tu nombre?;What is your name?
Su coche es rojo.;His car is red.
Su vestido es hermoso.;Her dress is beautiful.
El perro movió su cola.;The dog wagged its tail.
Nuestra casa es grande.;Our house is big.
¿Cuáles son sus planes?;What are your plans?
Sus hijos están jugando afuera.;Their children are playing outside.
Me gustan mis zapatos nuevos.;I like my new shoes.
¿Puedo tomar prestado tu bolígrafo?;Can I borrow your pen?
Su trabajo es muy interesante.;His job is very interesting.
Su color favorito es el azul.;Her favorite color is blue.
La compañía anunció sus ganancias.;The company announced its profits.
Nuestras vacaciones fueron increíbles.;Our vacation was amazing.
Por favor, revisen su correo electrónico.;Please check your email.
Su equipo ganó el partido.;Their team won the game.
Olvidé mis llaves.;I forgot my keys.
¿Es este tu paraguas?;Is this your umbrella?
Su cumpleaños es la próxima semana.;His birthday is next week.
Su sonrisa es contagiosa.;Her smile is contagious.
El gato limpió sus patas.;The cat cleaned its paws.
Nuestro jardín está lleno de flores.;Our garden is full of flowers.
¿Cuál es su opinión?;What is your opinion?
Su decisión fue sorprendente.;Their decision was surprising.
Necesito mis gafas para leer.;I need my glasses to read.
Muéstrame tu boleto.;Show me your ticket.
Su casa está cerca del parque.;His house is near the park.
Su voz es muy relajante.;Her voice is very soothing.
El pájaro construyó su nido en el árbol.;The bird built its nest in the tree.
Nuestra escuela tendrá una feria.;Our school is having a fair.
¿Trajeron su almuerzo?;Did you bring your lunch?
Su perro es muy amigable.;Their dog is very friendly.
No puedo encontrar mi teléfono.;I can't find my phone.
¿Cuál es tu canción favorita?;What is your favorite song?
Su deporte favorito es el fútbol.;His favorite sport is soccer.
Su cabello es muy largo.;Her hair is very long.
El coche necesita que le cambien el aceite.;The car needs its oil changed.
Nuestros vecinos son muy amables.;Our neighbors are very kind.
Por favor, escriban su dirección.;Please write down your address.
Su cultura es muy interesante.;Their culture is very interesting.
Amo a mi familia.;I love my family.
¿Cuáles son tus pasatiempos?;What are your hobbies?
Sus zapatos son muy caros.;His shoes are very expensive.
Sus ojos son tan brillantes.;Her eyes are so bright.
La ciudad celebró su aniversario.;The city celebrated its anniversary.
Nuestra ciudad tiene un gran museo.;Our city has a great museum.
¿Han terminado su tarea?;Have you finished your homework?
Sus tradiciones son muy antiguas.;Their traditions are very old.
Necesito mi medicina.;I need my medicine.
¿Puede mostrarme su identificación?;Can you show me your ID?
Su opinión es muy valiosa.;His opinion is very valuable.
Su consejo fue muy útil.;Her advice was very helpful.
La computadora necesita que se actualice su software.;The computer needs its software updated.
Nuestro planeta necesita nuestra ayuda.;Our planet needs our help.
Por favor, abróchense sus cinturones.;Please fasten your seatbelts.
Su idioma es difícil de aprender.;Their language is difficult to learn.
Disfruto de mi tiempo libre.;I enjoy my free time.
¿Cuál es tu película favorita?;What is your favorite movie?
Su conocimiento es impresionante.;His knowledge is impressive.
Su amabilidad es apreciada.;Her kindness is appreciated.
La planta necesita su agua.;The plant needs its water.
Nuestro equipo trabajó muy duro.;Our team worked very hard.
¿Recordaron su pasaporte?;Did you remember your passport?
Su arte es muy creativo.;Their art is very creative.
Me gusta el color de mi camisa.;I like the color of my shirt.
¿Cuál es tu dirección de correo electrónico?;What is your email address?
Su presentación fue excelente.;His presentation was excellent.
Su cocina es deliciosa.;Her cooking is delicious.
El teléfono perdió su señal.;The phone lost its signal.
Nuestro proyecto casi termina.;Our project is almost finished.
Por favor, revisen sus notas.;Please review your notes.
Su música es muy pegadiza.;Their music is very catchy.
Necesito cargar mi computadora portátil.;I need to charge my laptop.
¿Cuál es tu número de teléfono?;What is your phone number?
Su explicación fue clara.;His explanation was clear.
Su dedicación es inspiradora.;Her dedication is inspiring.
El sitio web actualizó su diseño.;The website updated its design.
Nuestra compañía está creciendo.;Our company is growing.
¿Trajeron su cámara?;Did you bring your camera?
Su entusiasmo es contagioso.;Their enthusiasm is contagious.
Disfruto pasar tiempo con mis amigos.;I enjoy spending time with my friends.
¿Cuál es tu libro favorito?;What is your favorite book?
Su memoria es muy aguda.;His memory is very sharp.
Su creatividad es asombrosa.;Her creativity is amazing.
La organización logró sus objetivos.;The organization achieved its goals.
Nuestra comunidad es muy solidaria.;Our community is very supportive.
Por favor, confirmen su reservación.;Please confirm your reservation.
Su generosidad es notable.;Their generosity is remarkable.
Necesito organizar mis archivos.;I need to organize my files.
¿Cuál es tu opinión sobre esto?;What is your opinion on this?
Su atención al detalle es excelente.;His attention to detail is excellent.
Su comprensión es impresionante.;Her understanding is impressive.
El gobierno anunció su nueva política.;The government announced its new policy.
Nuestro futuro parece brillante.;Our future looks bright.
¿Revisaron sus mensajes?;Did you check your messages?
Su compromiso es fuerte.;Their commitment is strong.
Necesito regar mis plantas.;I need to water my plants.
¿Cuál es tu materia favorita?;What is your favorite subject?
Su dedicación a su trabajo es clara.;His dedication to his work is clear.
Su pasión inspira a otros.;Her passion is inspiring to others.
Me corté a mí mismo afeitándome.;I cut myself shaving.
Puedes ayudarte a ti mismo.;You can help yourself.
Se lastimó a sí mismo jugando al fútbol.;He hurt himself playing football.
Ella aprendió a tocar la guitarra por sí misma.;She taught herself to play the guitar.
El gato se limpió a sí mismo.;The cat cleaned itself.
Nos divertimos a nosotros mismos en la fiesta.;We enjoyed ourselves at the party.
¿Se divirtieron a ustedes mismos?;Did you enjoy yourselves?
Ellos construyeron la casa por sí mismos.;They built the house themselves.
Me compré un libro nuevo para mí mismo.;I bought myself a new book.
Ten cuidado de no lastimarte a ti mismo.;Be careful not to hurt yourself.
Se culpó a sí mismo por el error.;He blamed himself for the mistake.
Ella se miró a sí misma en el espejo.;She looked at herself in the mirror.
La puerta se cerró por sí misma.;The door closed by itself.
Nosotros organizamos el evento por nosotros mismos.;We organized the event ourselves.
Necesitan creer en ustedes mismos.;You need to believe in yourselves.
Ellos se presentaron a los invitados por sí mismos.;They introduced themselves to the guests.
A menudo hablo conmigo mismo.;I often talk to myself.
No te presiones demasiado a ti mismo.;Don't push yourself too hard.
Se considera a sí mismo un experto.;He considers himself an expert.
Ella se encontró a sí misma en una situación difícil.;She found herself in a difficult situation.
La computadora se reinició por sí misma.;The computer restarted by itself.
Nos enseñamos a cocinar a nosotros mismos.;We taught ourselves how to cook.
Ustedes se expresaron muy claramente por sí mismos.;You expressed yourselves very clearly.
Ellos se defendieron valientemente por sí mismos.;They defended themselves bravely.
Disfruté de la paz y la tranquilidad por mí mismo.;I enjoyed the peace and quiet by myself.
Intenta relajarte y ser tú mismo.;Try to relax and be yourself.
Se imaginó a sí mismo como un héroe.;He imagined himself as a hero.
Ella se compró un capricho para sí misma.;She bought herself a treat.
La planta se regó por sí misma.;The plant watered itself.
Nos culpamos a nosotros mismos por el fracaso.;We blamed ourselves for the failure.
Deberían estar orgullosos de ustedes mismos.;You should be proud of yourselves.
Ellos se miraron a sí mismos en las fotos.;They looked at themselves in the photos.
Me sorprendí a mí mismo con mi reacción rápida.;I surprised myself with my quick reaction.
Cuídate a ti mismo.;Take care of yourself.
Se presentó cortésmente a sí mismo.;He introduced himself politely.
Ella se vistió rápidamente por sí misma.;She dressed herself quickly.
El coche se reparó por sí mismo (humorístico).;The car repaired itself (humorous).
Nos consideramos a nosotros mismos afortunados.;We consider ourselves lucky.
¿Se portaron bien ustedes mismos?;Did you all behave yourselves?
Ellos organizaron la fiesta para sí mismos.;They organized the party for themselves.
Me encontré a mí mismo perdido en mis pensamientos.;I found myself lost in thought.
¡Cree en ti mismo!;Believe in yourself!
Se enseñó a programar a sí mismo.;He taught himself how to code.
Ella disfrutó de la película por sí misma.;She enjoyed the movie by herself.
La puerta se abrió por sí misma con el viento.;The door opened by itself in the wind.
Nos recordamos a nosotros mismos la fecha límite.;We reminded ourselves of the deadline.
Ustedes se expresaron clara y concisamente por sí mismos.;You expressed yourselves clearly and concisely.
Se culparon a sí mismos por el accidente.;They blamed themselves for the accident.
A menudo me doy un capricho a mí mismo.;I often treat myself to something nice.
Sé fiel a ti mismo.;Be true to yourself.
Se defendió a sí mismo de las acusaciones.;He defended himself against the accusations.
Ella preparó la comida para sí misma.;She prepared the meal for herself.
La máquina se apagó por sí misma.;The machine turned off by itself.
Nos felicitamos a nosotros mismos por nuestro éxito.;We congratulated ourselves on our success.
Necesitan confiar más en ustedes mismos.;You need to trust yourselves more.
Ellos se vieron a sí mismos en el reflejo.;They saw themselves in the reflection.
Me motivé a mí mismo para terminar el proyecto.;I motivated myself to finish the project.
No te subestimes a ti mismo.;Don't underestimate yourself.
Se divirtió a sí mismo con un rompecabezas.;He amused himself with a puzzle.
Ella se ocupó leyendo por sí misma.;She occupied herself with reading.
El programa se actualizó por sí mismo.;The program updated itself.
Nos dedicamos a la tarea a nosotros mismos.;We dedicated ourselves to the task.
Todos ustedes necesitan cuidarse a sí mismos.;You all need to look after yourselves.
Ellos se apoyaron a sí mismos durante los tiempos difíciles.;They supported themselves during the difficult times.
Me prometí a mí mismo que haría más ejercicio.;I promised myself I would exercise more.
Exprésate claramente a ti mismo.;Express yourself clearly.
Demostró ser capaz por sí mismo.;He proved himself capable.
Ella se permitió un momento de descanso por sí misma.;She allowed herself a moment of rest.
El video se grabó por sí mismo.;The video recorded itself.
Nos involucramos en la comunidad a nosotros mismos.;We involved ourselves in the community.
Todos ustedes deberían desafiarse a sí mismos.;You should all challenge yourselves.
Ellos se establecieron como líderes por sí mismos.;They established themselves as leaders.
Me recordé a mí mismo que mantuviera la calma.;I reminded myself to stay calm.
¡Diviértete a ti mismo!;Enjoy yourself!
Se presentó con confianza a sí mismo.;He presented himself confidently.
Ella se compró flores para sí misma.;She bought herself flowers.
El teléfono se encendió por sí mismo.;The phone turned on by itself.
Nos preparamos para el examen a nosotros mismos.;We prepared ourselves for the exam.
Necesitan motivarse a ustedes mismos.;You need to motivate yourselves.
Ellos organizaron el viaje para sí mismos.;They organized the trip for themselves.
A menudo me encuentro cantando a mí mismo.;I often find myself singing.
Simplemente sé tú mismo.;Just be yourself.
Se consideró a sí mismo afortunado de estar vivo.;He considered himself lucky to be alive.
Ella se imaginó a sí misma de vacaciones.;She pictured herself on vacation.
El sitio web se actualizó automáticamente por sí mismo.;The website updated itself automatically.
Nos felicitamos a nosotros mismos por el trabajo en equipo.;We congratulated ourselves on the teamwork.
Todos ustedes deberían confiar en sí mismos.;You should all trust in yourselves.
Ellos se vieron a sí mismos como un equipo.;They saw themselves as a team.
Me esforcé a mí mismo para terminar la carrera.;I pushed myself to finish the race.
Cree en tus habilidades y sé tú mismo.;Believe in your abilities and be yourself.
Se dedicó a sus estudios a sí mismo.;He dedicated himself to his studies.
Ella se dio un día de spa para sí misma.;She treated herself to a spa day.
La aplicación se instaló por sí misma.;The app installed itself.
Nos recordamos a nosotros mismos nuestros objetivos.;We reminded ourselves of our goals.
Todos ustedes se expresaron muy bien por sí mismos.;You all expressed yourselves very well.
Ellos se prepararon para el desafío por sí mismos.;They prepared themselves for the challenge.
Disfruté de la soledad por mí mismo.;I enjoyed the solitude by myself.
Siempre sé fiel a ti mismo.;Always be true to yourself.
Se encontró a sí mismo en una nueva ciudad.;He found himself in a new city.
Ella se motivó a sí misma para alcanzar sus sueños.;She motivated herself to achieve her dreams.
Alguien está en la puerta.;Someone is at the door.
Creo que alguien te está llamando.;I think someone is calling you.
Alguien olvidó su paraguas.;Somebody left their umbrella.
Necesitamos a alguien que nos ayude.;We need someone to help us.
¿Hay alguien ahí?;Is someone there?
Alguien tiene que saber la respuesta.;Somebody has to know the answer.
Escuché a alguien reír.;I heard someone laugh.
¿Puede alguien traerme un vaso de agua?;Can someone get me a glass of water?
Alguien me dijo que me estabas buscando.;Somebody told me you were looking for me.
Hay alguien esperándote afuera.;There's someone waiting for you outside.
¿Puede alguien oírme? / ¿Me oye cualquiera?;Can anyone hear me?
No conozco a nadie aquí.;I don't know anyone here.
¿Hay alguien que pueda ayudar?;Is there anybody who can help?
No le contó a nadie su secreto.;She didn't tell anybody her secret.
Cualquiera puede aprender a tocar la guitarra.;Anyone can learn to play the guitar.
Si alguien llama, diles que estoy ocupado.;If anybody calls, tell them I'm busy.
No he visto a nadie en todo el día.;I haven't seen anyone all day.
¿Alguien quiere más café?;Does anybody want more coffee?
Puedes preguntarle a cualquiera por direcciones.;You can ask anyone for directions.
Prohíbo a cualquiera entrar en esta habitación.;I forbid anyone to enter this room.
Nadie sabe la respuesta.;Nobody knows the answer.
No había nadie en casa.;There was nobody at home.
Nadie vino a la fiesta.;No one came to the party.
Nadie puede resolver este misterio.;Nobody can solve this mystery.
No vi a nadie que conociera.;I saw nobody I knew.
Nadie me entiende.;No one understands me.
Nadie quiere hacer las tareas domésticas.;Nobody wants to do the chores.
No habló con nadie sobre sus planes.;She spoke to no one about her plans.
Nadie es perfecto.;Nobody is perfect.
No hay nadie como tú.;There is no one like you.
Todos están aquí.;Everybody is here.
A todos les encanta el chocolate.;Everyone loves chocolate.
Todo el mundo sabe eso.;Everybody knows that.
¡Bienvenidos todos!;Welcome, everyone!
Todos aplaudieron al final.;Everybody clapped at the end.
¿Han terminado todos de comer?;Has everyone finished their meal?
Todo el mundo necesita un amigo.;Everyone needs a friend.
Todos estaban contentos con el resultado.;Everybody was happy with the result.
Dile a todos la buena noticia.;Tell everyone the good news.
Todo el mundo comete errores.;Everybody makes mistakes.
Necesito algo de comer.;I need something to eat.
Hay algo extraño en esto.;There is something strange about this.
¿Puedo traerte algo de beber?;Can I get you something to drink?
Dijo algo interesante.;She said something interesting.
Quiero decirte algo.;I want to tell you something.
¿Pasa algo malo?;Is there something wrong?
Él está buscando algo.;He is looking for something.
Compré algo para ti.;I bought something for you.
Hagamos algo divertido.;Let's do something fun.
Siento que algo bueno está a punto de suceder.;I feel like something good is about to happen.
¿Necesitas algo? / ¿Necesitas cualquier cosa?;Do you need anything?
No quiero nada.;I don't want anything.
Puedes elegir cualquier cosa que te guste.;You can choose anything you like.
¿Hay algo que pueda hacer?;Is there anything I can do?
Ella no dijo nada.;She didn't say anything.
Él comerá cualquier cosa.;He will eat anything.
No he hecho nada malo.;I haven't done anything wrong.
¿Puedo pedir cualquier cosa del menú?;Can I have anything from the menu?
Avísame si encuentras algo.;Tell me if you find anything.
No hay nada mejor que esto.;There isn't anything better than this.
No hay nada en la caja.;There is nothing in the box.
No sé nada al respecto.;I know nothing about it.
Ella no dijo nada. (O: Nada dijo.);She said nothing.
Nada es imposible.;Nothing is impossible.
No tenemos nada que perder.;We have nothing to lose.
No hizo nada en todo el día.;He did nothing all day.
No hay nada de qué preocuparse.;There's nothing to worry about.
Nada puede detenernos ahora.;Nothing can stop us now.
No quiero nada más.;I want nothing more.
Nada dura para siempre.;Nothing lasts forever.
Todo está listo.;Everything is ready.
Le conté todo.;I told him everything.
¿Está todo bien?;Is everything okay?
Ella sabe todo sobre coches.;She knows everything about cars.
Todo estará bien.;Everything will be alright.
Perdió todo en el incendio.;He lost everything in the fire.
Llévate todo lo que necesites.;Take everything you need.
El dinero no lo es todo.;Money isn't everything.
Lo recuerdo todo.;I remember everything.
Todo ha cambiado.;Everything has changed.
Mis llaves deben estar en algún lugar por aquí.;My keys must be somewhere around here.
Vamos a algún lugar agradable para cenar.;Let's go somewhere nice for dinner.
He visto tu cara en algún lugar antes.;I've seen your face somewhere before.
Quiere viajar a algún lugar exótico.;She wants to travel somewhere exotic.
Podemos encontrar un refugio en algún lugar.;We can find a shelter somewhere.
Puedes sentarte en cualquier lugar que quieras.;You can sit anywhere you like.
No encuentro mi teléfono en ningún lugar.;I can't find my phone anywhere.
¿Fuiste a algún lugar interesante de vacaciones?;Did you go anywhere interesting on vacation?
No fuimos a ningún sitio anoche.;We didn't go anywhere last night.
Con este pase, puedes ir a cualquier lugar.;With this pass, you can go anywhere.
No hay ningún lugar donde esconderse.;There is nowhere to hide.
No tengo ningún otro lugar adonde ir.;I have nowhere else to go.
Este camino no lleva a ningún lugar.;This road leads nowhere.
Nos encontramos en medio de la nada.;We found ourselves in the middle of nowhere.
No fue a ningún lugar ayer.;He went nowhere yesterday.
He buscado mis gafas por todas partes.;I've looked everywhere for my glasses.
La gente celebraba por todas partes.;People were celebrating everywhere.
Hay belleza en todas partes.;There is beauty everywhere.
Tiene amigos en todas partes.;She has friends everywhere.
El polvo se mete por todas partes en esta casa.;Dust gets everywhere in this house.
Cada estudiante recibió un libro.;Each student received a book.
Cada uno de ellos tiene una opinión diferente.;Each of them has a different opinion.
Puedes elegir cualquiera de las dos opciones.;You can choose either of the two options.
No me gusta ninguno de los dos.;I don't like either of them.
Ninguna de las respuestas es correcta.;Neither answer is correct.
Ninguno de nosotros quiere ir.;Neither of us wants to go.
Ambas respuestas son correctas.;Both answers are correct.
Me gustan ambos.;I like both of them.
Algunas personas prefieren el té.;Some people prefer tea.
Necesito algo de azúcar.;I need some sugar.
¿Tienes alguna pregunta?;Do you have any questions?
No tengo nada de dinero.;I don't have any money.
Ninguno de los invitados llegó a tiempo.;None of the guests arrived on time.
Quería pastel, pero no quedaba ninguno.;I wanted some cake, but there was none left.
Todos los estudiantes aprobaron el examen.;All the students passed the exam.
Todo está perdido.;All is lost.
Varias personas se quejaron.;Several people complained.
He leído varios de sus libros.;I have read several of his books.
Muchas personas piensan así.;Many people think so.
No muchos vinieron a la reunión.;Not many came to the meeting.
Pocas personas entienden este concepto.;Few people understand this concept.
Tengo pocos amigos aquí.;I have few friends here.
Hay poca esperanza.;There is little hope.
Tengo poco tiempo.;I have little time.
No tengo mucho trabajo que hacer.;I don't have much work to do.
¿Cuánto cuesta?;How much does it cost?
Uno siempre debería ser educado.;One should always be polite.
Uno nunca sabe.;One never knows.
El libro que me diste es fascinante.;The book that you gave me is fascinating.
La mujer que vive al lado es doctora.;The woman who lives next door is a doctor.
El perro cuyo rabo es corto es muy amigable.;The dog whose tail is short is very friendly.
El coche, que es rojo, es de mi hermano.;The car, which is red, belongs to my brother.
El hombre a quien conocí ayer es profesor.;The man whom I met yesterday is a teacher.
Esta es la casa que Jack construyó.;This is the house that Jack built.
La chica que ganó el premio es mi hermana.;The girl who won the prize is my sister.
El artista cuyas pinturas son famosas viene.;The artist whose paintings are famous is coming.
El portátil, que compré la semana pasada, es rápido.;The laptop, which I bought last week, is fast.
La persona a quien llamaste no está aquí.;The person whom you called is not here.
La película que vimos fue emocionante.;The movie that we watched was exciting.
El niño que está jugando fútbol es mi primo.;The boy who is playing soccer is my cousin.
El autor cuyo libro vendió millones es rico.;The author whose book sold millions is rich.
El teléfono, que es nuevo, funciona perfectamente.;The phone, which is new, works perfectly.
El profesor al que admiramos se está jubilando.;The teacher whom we admire is retiring.
El pastel que ella horneó estaba delicioso.;The cake that she baked was delicious.
El doctor que me atendió fue muy amable.;The doctor who treated me was very kind.
El estudiante cuyo proyecto ganó es brillante.;The student whose project won is brilliant.
El vestido, que es azul, se ve hermoso.;The dress, which is blue, looks beautiful.
La mujer con quien se casó es abogada.;The woman whom he married is a lawyer.
La canción que cantaste fue increíble.;The song that you sang was amazing.
El hombre que arregló mi coche es mecánico.;The man who fixed my car is a mechanic.
El gato cuyas patas son blancas es mío.;The cat whose paws are white is mine.
El bolso, que es negro, es muy elegante.;The bag, which is black, is very stylish.
El amigo en quien confío más es honesto.;The friend whom I trust the most is honest.
Las llaves que perdí fueron encontradas.;The keys that I lost were found.
El actor que interpretó al héroe es famoso.;The actor who played the hero is famous.
La empresa cuyos beneficios aumentaron se está expandiendo.;The company whose profits increased is expanding.
El bolígrafo, que es caro, escribe bien.;The pen, which is expensive, writes well.
El chico al que ella ama está en su clase.;The boy whom she loves is in her class.
La idea que propusiste es genial.;The idea that you proposed is great.
La mujer que está cantando tiene una voz hermosa.;The woman who is singing has a lovely voice.
El perro cuyo dueño está fuera ladra mucho.;The dog whose owner is away barks a lot.
La computadora, que es vieja, aún funciona.;The computer, which is old, still works.
El profesor al que respetamos es estricto.;The professor whom we respect is strict.
Las flores que plantaste están floreciendo.;The flowers that you planted are blooming.
